title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
A Gentleman's Murder,Christopher Huang ,Paperback,$12.04,$15.99,9781942645955,Inkshares,07/31/18,352,6(w) x 8.5(h) x 1(d)
Whiskers in the Dark: A Mrs. Murphy Mystery,Rita Mae Brown ,Hardcover,$18.30,$28.00,9780425287187,Bantam,06/04/19,288,6.1(w) x 9.2(h) x 0.7(d)
The Mist,Stephen King ,Paperback,$11.06,$12.99,9781982103521,Scribner,06/05/18,176,5.5(w) x 8.4(h) x 0.4(d)
The Stone Circle (Ruth Galloway Mysteries),Elly Griffiths ,Hardcover,$24.30,$27.00,9781328974648,Houghton Mifflin Harcourt,05/07/19,368,5.5(w) x 8.2(h)
Blood Trail (A Joe Pickett Novel),C. J. Box ,Paperback,$8.99,$9.99,9780735211957,G.P. Putnam's Sons; Reprint edition,08/02/16,352,4.2(w) x 7.6(h) x 0.9(d)
Blood Money (Joe Dillard Series) (Volume 6),Scott Pratt ,Paperback,$9.93,$12.99,,,01/01/1979,,
The Never Game,Jeffery Deaver ,Hardcover,$18.30,$28.00,9780525535942,G.P. Putnam's Sons,05/14/19,416,6(w) x 9(h) x 1(d)
House Rules: A Novel,Jodi Picoult ,Paperback,$9.29,$16.99,9780743296441,Washington Square Press; Reprint edition,11/09/10,560,5.3(w) x 8.2(h) x 1.5(d)
"Maximum Ride Box Set (Maximum Ride, School's Out Forever, Saving the World)",James Patterson ,Paperback,$21.99,$29.99,9780316128254,jimmy patterson; Reprint edition,10/12/10,1392,5.4(w) x 8(h) x 4.2(d)
The Burglar,Thomas Perry ,Hardcover,$17.10,$26.00,9780802129000,Mysterious Press,01/08/19,304,6.2(w) x 9.5(h) x 1(d)
A Ladder to the Sky: A Novel,John Boyne ,Hardcover,$15.69,$27.00,9781984823014,Hogarth,11/13/18,384,6.4(w) x 9.5(h) x 1.2(d)
The Whispering Room: A Jane Hawk Novel,Dean Koontz ,Paperback,$8.07,$9.99,9780345546821,Bantam; Reprint edition,03/27/18,656,4.2(w) x 7.5(h) x 1.4(d)
The Shadows We Hide,Allen Eskens ,Hardcover,$17.70,$27.00,9780316509787,Mulholland Books,11/13/18,352,6.4(w) x 9.5(h) x 1.1(d)
Owl Be Home for Christmas: A Meg Langslow Mystery (Meg Langslow Mysteries),Donna Andrews ,Hardcover,$22.49,$24.99,9781250305312,Minotaur Books,10/15/19,304,5.4(w) x 8.2(h)
Death Waits in the Dark (A Writer's Apprentice Mystery),Julia Buckley ,Mass Market Paperback,$6.47,$7.99,9780451491916,Berkley,04/02/19,,4.2(w) x 6.8(h) x 0.8(d)
Deadly Class Deluxe Edition Volume 2: The Funeral Party,"Rick Remender , Wes Craig, et al. ",Hardcover,$31.44,$49.99,9781534308411,Image Comics; Deluxe edition,10/23/18,424,8.3(w) x 12.2(h) x 1.5(d)
