title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
Bruce Lee: A Biography,Zofia Stone,Paperback,$6.95,$6.95,9789386367280,Vij Books India Private Limited,02/15/2017,56,5.50(w) x 8.50(h) x 0.13(d)
Bruce Lee: A Life,Matthew Polly,Hardcover,$31.50,$35.00,9781501187629,Simon & Schuster,06/05/2018,656,6.30(w) x 9.10(h) x 1.60(d)
Bruce Lee: Artist of Life,Bruce Lee,Paperback,$18.95,$18.95,9780804832632,Tuttle Publishing,04/01/2001,288,6.00(w) x 9.00(h) x 0.80(d)
Bruce Lee: Fighting Spirit - A Biography,Bruce Thomas,Paperback,$16.95,$16.95,9781883319250,North Atlantic Books,11/28/1994,352,5.98(w) x 9.01(h) x 0.81(d)
Bruce Lee: The Evolution of a Martial Artist,Tommy Gong,Paperback,$26.96,$29.95,9780897502085,Black Belt Communications,06/02/2014,258,8.40(w) x 10.90(h) x 0.70(d)
Brunette Ambition,Lea Michele,Hardcover,$18.90,$21.00,9780804139076,Crown/Archetype,05/20/2014,208,7.70(w) x 9.20(h) x 1.00(d)
Bubble (Game Trilogy Series #3),Anders de la Motte,Paperback,$7.99,$7.99,9781476794471,Pocket Books,09/30/2014,480,4.12(w) x 6.75(h) x 1.00(d)
Buckingham Palace Gardens (Thomas and Charlotte Pitt Series #25),Anne Perry,Paperback,$16.64,$17.00,9780345523693,Random House Publishing Group,10/04/2011,320,7.94(w) x 5.26(h) x 0.71(d)
Buddenbrooks: The Decline of a Family (Woods translation),Thomas Mann,Paperback,$16.96,$18.00,9780679752608,Knopf Doubleday Publishing Group,06/28/1994,736,5.21(w) x 7.99(h) x 1.21(d)
Building the Great Society: Inside Lyndon Johnson's White House,Joshua Zeitz,Paperback,$16.69,$18.00,9780143111436,Penguin Publishing Group,01/29/2019,400,5.40(w) x 8.30(h) x 1.00(d)
Burial Rites,Hannah Kent,Paperback,$15.29,$16.99,9780316243926,"Little, Brown and Company",04/01/2014,352,5.50(w) x 8.25(h) x 1.00(d)
Burmese Days,George Orwell,Paperback,$14.85,$14.95,9780156148504,Houghton Mifflin Harcourt,03/20/1974,288,5.31(w) x 8.00(h) x 0.73(d)
"Burning Up the Air: Jerry Williams, Talk Radio and the Life in Between",Steve Elman,Hardcover,$27.95,$27.95,9781933212517,Commonwealth Editions,02/16/2008,352,7.10(w) x 10.24(h) x 1.22(d)
Bury the Chains: Prophets and Rebels in the Fight to Free an Empire's Slaves,Adam Hochschild,Paperback,$16.19,$17.99,9780618619078,Houghton Mifflin Harcourt,02/10/2006,496,6.00(w) x 9.00(h) x 1.24(d)
Bus: My Life In and Out of a Helmet,Jerome Bettis,Paperback,$15.00,$15.00,9780767926669,Crown/Archetype,09/09/2008,224,5.20(w) x 8.00(h) x 0.50(d)
Bush,Jean Edward Smith,Paperback,$16.20,$18.00,9781476741208,Simon & Schuster,07/18/2017,832,6.00(w) x 8.90(h) x 1.50(d)
Bush at War,Bob Woodward,Paperback,$14.40,$16.00,9780743244619,Simon & Schuster,07/01/2003,416,5.50(w) x 8.43(h) x 1.20(d)
But Seriously,John McEnroe,Paperback,$16.19,$17.99,9780316324885,"Little, Brown and Company",06/12/2018,288,5.40(w) x 8.20(h) x 1.00(d)
Button Man,Andrew Gross,Hardcover,$23.79,$27.99,9781250179982,St. Martin's Press,09/18/2018,384,6.20(w) x 9.20(h) x 1.50(d)
By Night Under the Stone Bridge,Leo Perutz,Paperback,$14.95,$14.95,9781611458411,Arcade,06/04/2013,208,5.50(w) x 8.10(h) x 0.70(d)
"By Oak, Ash, & Thorn: Modern Celtic Shamanism",D.J. Conway,Paperback,$17.94,$18.99,9781567181661,"Llewellyn Worldwide, LTD.",01/01/1994,320,6.00(w) x 8.90(h) x 0.90(d)
"By Steppe, Desert, and Ocean: The Birth of Eurasia",Barry Cunliffe,Paperback,$30.00,$30.00,9780199689187,Oxford University Press,10/28/2017,512,7.40(w) x 9.70(h) x 1.10(d)
By the Lake,John McGahern,Paperback,$16.00,$16.00,9780679744023,Knopf Doubleday Publishing Group,04/08/2003,352,5.20(w) x 8.00(h) x 0.70(d)
"By the Sword: A History of Gladiators, Musketeers, Samurai, Swashbucklers, and Olympic Champions",Richard Cohen,Paperback,$18.00,$18.00,9780812969665,Random House Publishing Group,08/05/2003,560,5.20(w) x 7.98(h) x 1.08(d)
Caddy for Life: The Bruce Edwards Story,John Feinstein,Paperback,$16.66,$17.99,9780316010863,"Little, Brown and Company",05/09/2005,336,5.50(w) x 8.25(h) x 0.87(d)
Caesar's Footprints: A Cultural Excursion to Ancient France: Journeys Through Roman Gaul,Bijan Omrani,Hardcover,$26.06,$28.95,9781681775661,Pegasus Books,12/05/2017,416,6.20(w) x 9.10(h) x 1.50(d)
Caesar's Gallic Wars: 58-50 BC,Kate Gilliver,Paperback,$19.95,$19.95,9781841763057,Bloomsbury USA,11/20/2002,96,6.64(w) x 9.72(h) x 0.17(d)
Caesar's Legion: The Epic Saga of Julius Caesar's Elite Tenth Legion and the Armies of Rome,Stephen Dando-Collins,Paperback,$16.43,$16.95,9780471686132,Turner Publishing Company,09/28/2004,336,6.00(w) x 9.10(h) x 0.90(d)
"Caesars' Wives: Sex, Power, and Politics in the Roman Empire",Annelise Freisenbruch,Paperback,$17.00,$17.00,9781416583059,Atria Books,10/25/2011,384,5.50(w) x 8.40(h) x 1.10(d)
Caligula: A Biography,Aloys Winterling,Paperback,$23.75,$24.95,9780520287594,University of California Press,09/15/2015,240,5.40(w) x 8.10(h) x 0.60(d)
Call It Sleep,Henry Roth,Paperback,$17.33,$19.00,9780312424121,Picador,07/01/2005,480,5.50(w) x 8.16(h) x 0.86(d)
Call Me By Your Name,Andre Aciman,Paperback,$14.45,$17.00,9780312426781,Picador,01/22/2008,256,5.68(w) x 8.26(h) x 0.69(d)
Call Me the Breeze: A Novel,Patrick McCabe,Paperback,$13.95,$13.95,9780060523893,HarperCollins Publishers,11/09/2004,352,5.31(w) x 8.00(h) x 0.79(d)
Callander Square (Thomas and Charlotte Pitt Series #2),Anne Perry,Paperback,$16.19,$17.00,9780345513953,Random House Publishing Group,05/26/2009,272,5.18(w) x 7.98(h) x 0.57(d)
"Called to Coach: Reflections on Life, Faith, and Football",Bobby Bowden,Paperback,$14.39,$15.99,9781439196458,Howard Books,08/09/2011,288,5.40(w) x 8.40(h) x 0.80(d)
Camelot's Court: Inside the Kennedy White House,Robert Dallek,Paperback,$16.99,$16.99,9780062065858,HarperCollins Publishers,09/16/2014,528,5.30(w) x 7.90(h) x 1.00(d)
Camelot's End: Kennedy vs. Carter and the Fight that Broke the Democratic Party,Jon Ward,Hardcover,$23.80,$28.00,9781455591381,Grand Central Publishing,01/22/2019,400,5.90(w) x 9.10(h) x 1.60(d)
Canada,Mike Myers,Paperback,$25.16,$27.95,9780385689274,Doubleday Canada,10/30/2018,304,6.60(w) x 8.70(h) x 0.90(d)
Cancer Ward: A Novel,Aleksandr Solzhenitsyn,Paperback,$20.00,$20.00,9780374534714,"Farrar, Straus and Giroux",04/14/2015,544,5.40(w) x 7.90(h) x 1.70(d)
Candy Girl: A Year in the Life of an Unlikely Stripper,Diablo Cody,Paperback,$16.20,$18.00,9781592402731,Penguin Publishing Group,12/28/2006,224,5.40(w) x 8.00(h) x 0.62(d)
Cane River,Lalita Tademy,Paperback,$8.00,$8.00,9780446615884,Grand Central Publishing,02/28/2005,584,4.25(w) x 6.87(h) x 1.25(d)
Cannery Row,John Steinbeck,Paperback,$14.40,$16.00,9780140187373,Penguin Publishing Group,02/28/1994,224,5.38(w) x 10.88(h) x 0.57(d)
Capital: A Novel,John Lanchester,Paperback,$15.95,$15.95,9780393345094,"Norton, W. W. & Company, Inc.",05/28/2013,528,5.50(w) x 8.20(h) x 1.20(d)
Captain Blood,Rafael Sabatini,Paperback,$16.00,$16.00,9780142180105,Penguin Publishing Group,01/25/2003,368,5.10(w) x 7.80(h) x 0.70(d)
"Captain Phil Harris: The Legendary Crab Fisherman, Our Hero, Our Dad",Josh Harris,Paperback,$16.00,$16.00,9781451666069,Simon & Schuster,04/15/2014,240,5.50(w) x 8.37(h) x 0.70(d)
CAPTURED BY A LAIRD,Margaret Mallory,Paperback,$11.99,$11.99,9780990759959,Margaret Mallory,09/15/2014,282,6.00(w) x 9.00(h) x 0.64(d)
Carausius and Allectus: The British Usurpers,P. J. Casey,Hardcover,$57.00,$57.00,9780300060621,Yale University Press,02/22/1995,232,6.13(w) x 9.25(h) x (d)
Cardington Crescent (Thomas and Charlotte Pitt Series #8),Anne Perry,Paperback,$16.48,$17.00,9780345514073,Random House Publishing Group,10/04/2011,320,5.10(w) x 7.90(h) x 0.70(d)
Caribbean,James A. Michener,Paperback,$19.20,$20.00,9780812974928,Random House Publishing Group,12/13/2005,688,5.44(w) x 8.25(h) x 1.52(d)
"Carnage and Courage: A Memoir of FDR, the Kennedys, and World War II",Page Wilson,Hardcover,$24.99,$24.99,9781631580611,Yucca,11/03/2015,288,6.20(w) x 9.10(h) x 1.20(d)
Carnegie's Maid,Marie Benedict,Paperback,$13.59,$15.99,9781492662709,Sourcebooks,10/02/2018,352,5.50(w) x 8.20(h) x 1.10(d)
"Caroline: Little House, Revisited",Sarah Miller,Paperback,$14.39,$15.99,9780062685353,HarperCollins Publishers,06/12/2018,400,5.20(w) x 7.90(h) x 1.00(d)
Carrie and Me: A Mother-Daughter Love Story,Carol Burnett,Paperback,$13.50,$15.00,9781476755793,Simon & Schuster,04/08/2014,224,5.40(w) x 8.30(h) x 0.60(d)
"Carry On, Jeeves",P. G. Wodehouse,Hardcover,$19.95,$19.95,9781585673926,The Overlook Press,03/31/2003,224,5.25(w) x 7.62(h) x 1.12(d)
"Carry On: A Story of Resilience, Redemption, and an Unlikely Family",Lisa Fenn,Paperback,$15.29,$16.99,9780062427847,HarperCollins Publishers,08/08/2017,320,5.31(w) x 8.00(h) x 0.72(d)
Carthage Must Be Destroyed: The Rise and Fall of an Ancient Civilization,Richard Miles,Paperback,$20.88,$22.00,9780143121299,Penguin Publishing Group,06/26/2012,544,5.40(w) x 8.40(h) x 1.40(d)
Cary Grant: Dark Angel,Geoffrey Wansell,Paperback,$17.99,$19.99,9781628726909,Arcade,11/15/2016,192,8.40(w) x 10.90(h) x 0.70(d)
Casey Stengel: Baseball's Greatest Character,Marty Appel,Paperback,$16.23,$17.00,9781101911747,Knopf Doubleday Publishing Group,03/20/2018,432,5.10(w) x 7.90(h) x 1.00(d)
Cast Member Confidential: A Disneyfied Memoir,Chris Mitchell,Paperback,$15.95,$15.95,9780806531281,Kensington,01/01/2010,320,5.30(w) x 8.10(h) x 0.90(d)
Castrum to Castle: Classical to Medieval Fortifications in the Lands of the Western Roman Empire,J E Kaufmann,Hardcover,$35.96,$39.95,9781473895805,Pen and Sword,12/21/2018,,6.80(w) x 9.80(h) x 1.10(d)
